	TCGA-AX-A1CI	TCGA-BK-A0CB	TCGA-AX-A1CF	TCGA-BK-A13C	TCGA-AX-A1CK
Ayers2017__TumorInflammationSignature	2.73464438084455	3.0236523525913106	3.1647472875418527	3.8937735369521045	4.885518777783167
Marincola2008__ImmuneConstantOfRejection	0.22787196350441338	1.1297277368760503	0.5741138414671029	0.7744529490974127	1.2233645822510693
Rodriguez2017__IFNG_Sensitivity	9.69201209618754	10.227507844302375	12.981155731668352	12.554933804963317	13.01817247468317
ImmuneEvasion	1.6161921091808753	1.0740545746354686	1.9169721760367362	1.891597032930388	2.89686256406904
AdenosineEscapeSignature	0.8142937528785695	1.7986977993261202	0.7804915697264354	1.8662542668530167	0.7605239616055737
IDO12	0.22135171141953724	0.3490377160403377	0.30525321384493637	0.292656095874512	0.5420634860589384
MDSC_ALL	3.8727781545328446	3.3131040991396583	3.824148849773857	5.910010907400042	6.619300279516947
M-MDSC	2.420419299779645	3.2238338447276678	2.742935141330076	5.062799963088776	5.675744666287418
G-MDSC	2.3785474518041423	2.428629544610731	2.5951017751637764	4.1685797852693165	5.6353913832298925
F-MDSC	5.550028125712499	4.09124590704331	5.391131298533973	7.899501115884234	8.946721639679165
stromal signature	11.157812576666842	24.738969861020358	10.809171285497447	26.714600636275517	11.322825687871564
immune signature	23.838473899065843	42.75773049402787	30.436217171038525	42.242555046558294	35.668219778671045
Responder	0.834868467724021	1.1222197163349736	1.0206749057474576	1.1176897624765667	1.1072114048767419
Non-responder_FigS2G	7.283670810133679	6.196818322479213	7.052238349570846	8.343308064653705	8.491469080269132
Non-responder_FigS2E	138.55829960765044	132.80541659194768	149.34790091283267	152.82751309766059	158.73330576134524
Responder_CD8_G	4.36829871215435	7.669530729421807	4.793185520462057	6.615828721217274	4.228658541001952
Non-responder_CD8_B	inf	inf	inf	inf	inf
Non-responder_Fig2B	1.1836736079781383	1.126972595155401	1.7351147835112266	1.6593672494319778	1.946537714614149
Responder_Fig2B	2.169632929977664	4.537066092285104	2.833481780787281	3.7224753128035024	2.378503888533089
